描述,几室几厅,高低层,朝向,建筑年代,所属小区,所属片区,地址,最近地铁站,建筑面积,整套价格,平方价格
新出5大户型双拼!北入户南花园200平 全屋地暖 装修保养好,4室2厅,低层(共1层),南向,2005,优山美地,中央别墅区,后沙峪镇白辛 新国展对面榆阳路4号,无,448,3199,71480
法式联排+使用500+京承++私家电梯+集中供暖,4室3厅,低层(共1层),南向,2016,达华依云庄园,北七家,定泗路238号院,无,212,1200,56604
豪宅 满二年、人车分流、随时看房、急售!,5室3厅,低层(共3层),南向,2012,远洋傲北,北七家,北七家立汤路39号(麦卡伦地北),无,373,1250,33512
潮白河孔雀城英国宫紫藤园 南北通透两居 赠送阳台 低于市场价,2室2厅,高层(共34层),南北向,2014,潮白河孔雀英国宫,大厂,通州东潮白河畔(距国贸30公里),无,89,128,14414
幸福家园+东北两居室+对花园+不临街+落地窗+有车位+预约可看,2室1厅,高层(共12层),东北向,2005,幸福家园,广渠门内,广渠门内大街36号,距7号线广渠门内站约300米,91,1050,115499
大慧寺7号院二室一厅一卫,2室1厅,中层(共5层),南北向,1992,大慧寺7号院,魏公村,中关村南大街大慧寺路7号院,距4号线魏公村站约786米,57,595,105310
潮白河孔雀城 南北通透 买两居居 洋房高品质!!,3室2厅,中层(共11层),南北向,2016,潮白河孔雀城温莎郡,大厂,廊坊国贸正东、潮白河友谊大桥东侧100米,无,98,165,16920
首创禧瑞都 中国风设计格局方正,3室2厅,高层(共28层),西北向,2009,首创禧瑞都,CBD,东三环中路与朝阳路交叉点向东300米路北,距10号线金台夕照站约566米,176,2300,130682
公主坟 二期西南向 两室两厅 中间楼层 采光无遮挡,2室2厅,中层(共28层),西南向,2001,颐源居,公主坟,西三环羊坊店翠微路4号院,距1号线公主坟站约1007米,129,1180,91473
送200平米花园业主直降200万 满五年0稀有户型,4室2厅,低层(共1层),南向,2004,卡尔生活馆,亦庄,亦庄经济技术开发区西环北路东,无,296,1350,45608
小南庄二室一厅一卫,2室1厅,中层(共6层),南北向,1996,小南庄,苏州桥,海淀海淀街道苏州桥西社区,距10号线苏州街站约1006米,89,841,94921
天天家园一室一厅一卫,1室1厅,低层(共11层),西北向,2003,天天家园,永定门,永外沙子口安乐林路22号,距14号线景泰站约513米,67,465,69872
上奥世纪二室一厅一卫,2室1厅,低层(共11层),南北向,2009,上奥世纪中心,西三旗,八达岭高速路西三旗桥东北角,无,94,450,48010
嘉铭 850万的三居 高层 观景效果好,3室2厅,高层(共28层),西北向,2003,嘉铭桐城,亚运村小营,亚运村小营北苑路86号,距15号线关庄站约782米,130,900,69231
农光东里 大客厅 精装大2居 满五年 家庭一套住房,2室1厅,中层(共18层),西南向,1998,农光东里,劲松,武圣路与南磨房路路口以南150米路东,距10号线劲松站约986米,87,455,52371
北纬 3室出售 户型方正 南北通透朝向 主卧带明卫衣帽间 自行通透,3室2厅,中层(共9层),南北向,2008,北纬40度东区,望京,广达路2号院,距14号线来广营站约588米,165,1360,82635
龙腾苑三区二室一厅一卫,2室1厅,低层(共6层),南北向,2004,龙腾苑三区,回龙观,育知路与回龙观西大街交汇处南行100米路东,距13号线回龙观站约803米,97,488,50056
瀛海名居 平层正规三居室 大面宽 毛坯没有过 朝向好,3室2厅,低层(共1层),南向,2005,赢海庄园,亦庄,亦庄经济技术开发区凉水河一街37号院,无,221,900,40779
昆玉河畔!次新盘!中层毛坯东南两居!临琨御府配套!看房有钥匙,2室2厅,中层(共14层),东南向,2013,美丽经典园,曙光,蓝靛厂南路(章化南路),距6号线海淀五路居站约898米,93,850,90997
广源闸二室一厅一卫,2室1厅,中层(共5层),南向,1991,广源闸,万寿寺,苏州街广源闸园林局宿舍,无,55,520,93795
满五年  一套房 次顶层 正对小区花园 视野开阔 看房有钥匙,2室1厅,中层(共20层),东向,2005,清枫华景园,学院路,学清路西林业大学北路,距15号线六道口站约1130米,102,800,78624
四环边 单价5万 东南五居室 看房有钥匙,4室2厅,中层(共28层),东南向,2003,千鹤家园,惠新西街,朝阳区北四环东路108号(近华堂商场),距5号线惠新西街北口站约303米,297,1500,50519
上地东里南北一居室 中间楼层不临街 周期可谈 看房方便,1室1厅,中层(共6层),南北向,2000,上地东里,上地,上地南路与信息路交汇处东行90米路北,距13号线上地站约671米,45,630,140000
新出+金源购物+十号线+板楼三居室+可改四居室+看房方便,3室2厅,低层(共16层),南向,2004,世纪城远大园三区,世纪城,长春桥西500米,距10号线长春桥站约845米,135,1390,102963
楼层 3居室 精装修 省去装修烦恼 随时看房,3室2厅,中层(共9层),南北向,2009,金地格林小镇6,马驹桥,马驹桥1号地(亦庄生活新区),无,142,535,37676
华侨城2号院高层一居 明厨明卫 采光无遮挡 干净整洁,1室1厅,中层(共30层),东南向,2009,北京华侨城,欢乐谷,东四环四方桥京沈辅路南侧小武基北路,距7号线欢乐谷景区站约481米,87,620,71264
巴克摩界二室一厅二卫,2室1厅,高层(共12层),北向,2005,巴克摩界,果园,果园站南500米(梨园镇李老公庄村),距八通线果园站约1087米,44,352,80127
海淀南路 中关村 远中悦莱 正规三居室 户型方正,3室2厅,中层(共21层),南北向,2006,远中悦莱,中关村,海淀中街15号,距10号线苏州街站约491米,143,1200,84028
农大马连洼 南北向4居室 4卧朝南 送大露台 视野好,4室2厅,高层(共6层),南北向,2004,博雅西园,农大,北京市海淀区农大南路路北厢黄旗1号,无,190,1550,81497
金源购物+十号线+全明格局霸气大三居+采光无遮挡+看房随时,3室2厅,低层(共12层),南北向,2004,世纪城远大园五区,世纪城,板井路北侧世纪金源大饭店后,无,179,1680,93755
新建小区配套全环境优美,2室1厅,低层(共33层),南北向,2013,夏威夷蓝湾,燕郊,燕郊南外环与迎宾路交汇处东北角,无,88,160,18182
你要的标准在这里!星河湾一期复式6居室 空间+视感双收!,6室2厅,高层(共9层),南北向,2007,星河湾,朝青,四季星河西路与四季星河南街交叉点东北角,距6号线青年路站约591米,507,4600,90699
02年美林花园 高层观景!两室两卫双阳台!年前买到就是到!,2室2厅,高层(共29层),东向,2001,美林花园,紫竹桥,紫竹院路33号,无,118,1050,88983
蓝星花园 1层2居室 380万可聊 满五年业主一套 有钥匙,2室1厅,低层(共6层),南北向,2007,蓝星花园,后沙峪,天竺空港工业区B区 地铁15号线空港工业区站,距15号线花梨坎站约917米,90,390,43237
优山美地双拼别墅、正南正北朝向、北入户南花园、业主!,5室2厅,低层(共3层),南向,2005,优山美地,中央别墅区,后沙峪镇白辛 新国展对面榆阳路4号,无,456,2800,61404
21地暖 中层 32米开间 大平层 巴洛克风格 低总价,6室3厅,高层(共32层),南北向,2009,星河湾,朝青,四季星河西路与四季星河南街交叉点东北角,距6号线青年路站约591米,703,5500,78236
双裕小区 79.76 客厅带边窗 报价340万可谈 满五年,2室1厅,高层(共6层),南北向,1994,双裕小区,后沙峪,火寺路与双裕大街交叉口(天洋国际大厦旁边),无,80,340,42628
江山赋 南北三居室 人车分流社区 赠送双阳台 看房方便,3室2厅,中层(共10层),南北向,2009,中景江山赋,后沙峪,后沙峪镇后沙峪裕华路东侧,无,108,679,62981
中粮祥云国际生活区 满二年 3室双卫 高楼层 价格可大谈,3室2厅,中层(共16层),南北向,2013,中粮祥云国际生活区住,后沙峪,中央别墅区 新国展北侧,无,176,1200,68162
香花畦 南北四居室 报价830万价格可谈 满五年 中间层,4室2厅,中层(共6层),南北向,2009,香花畦家园,后沙峪,后沙峪镇东庄村香江北路1号,无,168,830,49320
三山新新家园 133平 三居室 515可签 满五年 价格能谈,3室2厅,中层(共6层),南北向,2005,三山新新家园,后沙峪,后沙峪罗马环岛东侧200米,无,133,530,39850
万科品质 桃花园1层南北2居室 带小花园 满五年出售 看房有钥匙,2室1厅,低层(共6层),南北向,2000,万科城市花园,后沙峪,京密路火神营路口西侧,无,99,459,46345
东坝奥园首开一期 业主价格可谈 中高层采光好,3室2厅,高层(共10层),南北向,2010,首开常青藤,东坝,东五环七棵树出口向东200米,无,96,645,67490
房山阎村绿城百合玉泉苑一室一厅一卫南向看房方便,1室1厅,低层(共18层),南向,2010,绿城百合玉泉苑,闫村,良乡卫星城西侧10公里阎村镇(京周路南侧 天,无,66,235,35482
园区总价蕞低的一套、位置安静、的好房子、随时看!,3室2厅,低层(共3层),南向,2008,龙湾别墅,中央别墅区,后沙峪(天竺开发区21号地)京顺路旁 京承高,无,316,1500,47468
香花畦家园二室二厅二卫 经典两居 南北透通,2室2厅,高层(共10层),南北向,2009,香花畦家园,后沙峪,后沙峪镇东庄村香江北路1号,无,97,580,59726
源!智地香蜜湾 精装2室1厅 随时看房,2室1厅,高层(共12层),东北向,2010,香蜜湾,后沙峪,后沙峪裕民大街38号,无,93,480,51508
房山阎村乐活城绿城百合秋月苑三室二厅二卫带花园,3室2厅,低层(共4层),南北向,2007,绿城百合秋月苑,闫村,房山区闫村镇 京石高速闫村出口向西路南 燕化,无,114,460,40514
花梨坎吉祥花园小区 南北2居室 满五年业主换房出售 价可谈,2室1厅,高层(共11层),南北向,2008,吉祥花园,后沙峪,天竺空港开发区(新国际展览中心南),距15号线花梨坎站约366米,89,416,46857
西罗园南里 中间层 南向精装一居室 户型方正 采光好 交通方,1室1厅,中层(共6层),南向,1996,西罗园南里,西罗园,南三环中路26号,距10号线大红门站约1077米,46,245,53261
富力城高层 看花园 双卫两居室 两代人住合适 一代人住敞亮,2室2厅,中层(共32层),西北向,2006,富力城A区,双井,广渠门外大街1号院,距10号线双井站约356米,96,950,98804
磨房北里二室一厅一卫,2室1厅,高层(共18层),西南向,1993,磨房北里,劲松,东三环劲松桥东行800米路南,距14号线北京工业大学站约695米,62,405,64862
武圣西里三室一厅一卫,3室1厅,中层(共6层),南北向,1983,武圣西里,劲松,劲松桥东武圣路西侧(劲松桥南200米路东),距10号线潘家园站约710米,68,400,58928
矮板楼 全都是落地窗 南北通透 安静 舒适 临公园 购物方便,2室2厅,中层(共8层),南北向,2006,金隅国际,望京,望京西路48号院(望京南湖公园北门对面),无,109,920,84404
朝庭 户型少见 南北通透朝向 舒适 高层观景 配套齐全!,3室2厅,高层(共31层),南北向,2008,朝庭公寓,望京,阜荣街8号院,距14号线望京南站约688米,160,1100,68840
上京新航线(望京 东湖渠)3室出售 户型方正 南北通透,3室2厅,低层(共26层),南北向,2007,上京新航线,望京,利泽西二路与望京北路交叉点东南角,距14号线东湖渠站约340米,152,1390,91447
农光东里二室一厅一卫,2室1厅,高层(共6层),南北向,1983,农光东里,劲松,武圣路与南磨房路路口以南150米路东,距10号线劲松站约986米,58,348,59948
磨房北里二室一厅一卫,2室1厅,低层(共18层),西北向,1993,磨房北里,劲松,东三环劲松桥东行800米路南,距14号线北京工业大学站约695米,69,400,58182
农光里东西向二居 ,2室1厅,高层(共12层),东西向,2000,农光里小区,劲松,龙潭湖百果园劲松桥东侧,距10号线劲松站约450米,86,510,59413
大花园精装独栋 顺义新城核心区富力湾别墅,5室3厅,低层(共1层),南向,2008,富力湾,马坡,马坡镇右堤路西侧,无,428,1300,30374
农光南路 大客厅大卧室采光好 我是这房守盘人看房随时,3室1厅,低层(共18层),东南向,2005,农光南路小区,劲松,磨房中街和西大望路交汇处西北,距14号线北京工业大学站约506米,93,520,55651
复式四居室 推荐 赠送面积 楼中别墅,4室2厅,中层(共17层),南北向,2008,后现代城,百子湾,百子湾路16号,距7号线大郊亭站约843米,150,970,64883
把边大两居可改三居室 明厨明卫明餐厅 看房有钥匙 直通车库,2室2厅,高层(共9层),南北向,2007,颐慧佳园,曙光,蓝靛厂南路西侧 北京市盲人学校东侧,距6号线慈寿寺站约680米,121,1250,103323
国贸 双井 富力城区西南北四居 南北通透观花园,4室2厅,低层(共17层),南向,2007,富力城D区,双井,北京市朝阳区东三环中路35号,距7号线广渠门外站约518米,276,2980,108085
芍药居北里三区二室一厅一卫,2室1厅,高层(共26层),西南向,2008,芍药居北里,芍药居,文学馆路 中煤信息大厦西北侧 北京市朝阳区芍,距10号线芍药居站约1058米,94,680,72657
重聚园 南北东朝向 三居 三个阳台 双卫 满五一套,3室2厅,中层(共34层),南北向,2004,重聚园,鲁谷,鲁谷大街北重西厂院内,无,148,768,51756
永定路85号院二室一厅一卫,2室1厅,低层(共6层),南北向,1986,永定路85号院,永定路,永定路武警医院南侧 永定路85号院,距1号线玉泉路站约928米,66,450,68660
七里庄 没有税 价格可商议 随时签 业主换房,3室2厅,中层(共9层),南北向,2004,保利欣苑,七里庄,丰台区西四环小井村西侧望园路,无,128,890,69722
五矿住宅区临武警总公园所环绕改善养老的地值得拥有随时看房,3室2厅,中层(共9层),南北向,2016,五矿铭品,良乡,区长虹东路与阜盛大街交汇处,无,135,500,37037
国贸 双井富力城区全南三居 采光视野俱佳 看房方便,3室2厅,高层(共25层),南向,2005,富力城C区,双井,惠力路与天力街交叉点东南角,距10号线双井站约570米,163,1570,96580
6层的小板楼带电梯 南北通透 户型超棒 业主急售!!!,3室2厅,中层(共6层),南北向,2015,中国铁建北京山语城,云岗,长青路南宫体育公园北侧100米,无,125,410,32800
国贸 双井 富力城区 3室2厅 全南向 高层,3室2厅,中层(共25层),南向,2005,富力城C区,双井,惠力路与天力街交叉点东南角,距10号线双井站约570米,163,1655,101809
西直门 铁道科学研究院 2室1厅 婆媳房 全明户型 满五年,2室1厅,中层(共6层),南北向,1989,铁科院小区,皂君庙,海淀区交大东路交学院南路西南角(中央财经大学,距13号线大钟寺站约1114米,61,525,86491
泰华滨河苑复式三居室 满五年一套 南北通透精装修,3室2厅,高层(共27层),南北向,2005,泰华滨河苑,酒仙桥,朝阳公园东门 东风北桥东南十里居41号院,无,149,780,52254
宏汇园二室一厅一卫,2室1厅,高层(共7层),南北向,2001,宏汇园小区,西单,什坊小街与辟才胡同交叉口(北京市宏庙小学旁边,距4号线灵境胡同站约433米,76,1280,168200
新增!电梯房 次顶层 南边1000米无遮挡 双卫(有钥匙)给周期,2室2厅,高层(共6层),南北向,2000,圆明园花园别墅,圆明园,圆明园西路88号院,无,105,790,75238
上地软件园 西山华府 精装4居室 带车位,4室2厅,中层(共8层),南北向,2010,西山华府,马连洼,马连洼北路与竹园中街交汇处南行150米路两侧,距16号线马连洼站约1026米,290,2599,89574
现房!现房!刚刚清退 上2下二 精装交房 位子一套,4室3厅,低层(共4层),南向,2017,鸿坤林语墅,西红门,地铁四号线西红门站东800米,无,360,2280,63333
世华水岸 南北通透 大三居 龙眼户型 首层花园 带产权车位,3室2厅,低层(共11层),南北向,2010,世华水岸,赵公口,北京市丰台区石榴庄南里66号,距10号线石榴庄站约1105米,152,900,59102
卡布其诺 小三居室 南北通透 全明格局 中间楼层,3室2厅,中层(共9层),南北向,2005,卡布其诺,酒仙桥,将台东路与村家村路交叉点向西200米路北,无,102,770,75247
海淀区北三环西路47号二室一厅一卫,2室1厅,中层(共6层),南北向,2000,友谊社区,双榆树,北三环西路47号,距4号线人民大学站约714米,81,798,98567
青年路 朝阳大悦城 富华家园全南2居出售,2室1厅,高层(共24层),南向,2000,富华家园,朝青,黄衫木店路186号院,无,78,420,53950
西二旗 新硅谷品质 精致2居满5年 顶层带阁楼,2室1厅,高层(共5层),东西向,2012,领秀新硅谷,西二旗,西二旗西路1号院,距13号线西二旗站约500米,78,668,85641
鑫雅苑三室二厅二卫,3室2厅,低层(共20层),西南向,2000,鑫雅苑,皂君庙,皂君庙14号院,距13号线大钟寺站约887米,156,1370,87714
(景和园3居+可成商品房)116平米 3室1厅2卫 全南户型无遮挡,3室1厅,高层(共17层),南向,2012,金隅景和园,东坝,东坝高杨树 朝新家园东里,无,116,560,48114
一居室 灵动空间可多改造户型 采光好,1室1厅,高层(共5层),东向,1998,金达园,回龙观,西二旗北路与京藏高速交汇处西行200米,无,56,280,49698
远大园五区 南北通透  钥匙房,3室1厅,低层(共12层),南北向,2002,世纪城远大园五区,世纪城,板井路北侧世纪金源大饭店后,无,179,1680,93755
定慧寺八里庄慈寿寺站朝南向中层一居室诚售看房方便!,1室1厅,中层(共6层),南北向,1994,西八里庄北里,定慧寺,西八里庄路慈寿寺桥西南角,距6号线慈寿寺站约622米,40,360,89552
「幸福我家」道家园三室一厅一卫,3室1厅,高层(共20层),南向,1990,道家园小区,甜水园,甜水园东街 靠近东四环红领巾桥,距6号线金台路站约875米,78,480,61752
幸福我家道家园一室一厅一卫,1室1厅,高层(共12层),南向,1990,道家园小区,甜水园,甜水园东街 靠近东四环红领巾桥,距6号线金台路站约875米,52,345,65915
公园5号一期南北通透板楼三室二厅二卫,3室2厅,高层(共7层),东向,1999,公园5号,甜水园,金台路十字路口西北角甜水西园,距6号线金台路站约275米,109,900,82728
碧水云天 3室2厅 148.55平米,3室2厅,高层(共13层),南北向,2003,碧水云天,万柳,巴沟南路与万柳中路路口西南角,距10号线火器营站约588米,149,1680,113093
全明格局 南北通透户型 看房方便 房价可协商,2室1厅,低层(共27层),南北向,2014,融泽嘉园,龙泽,西二旗北侧龙域中路金域华府北面,无,98,460,46996
现房!现房!刚刚清退 上2下二 精装交房 位子一套,4室3厅,低层(共4层),南向,2017,鸿坤林语墅,西红门,地铁四号线西红门站东800米,无,360,2280,63333
永定路东街5号三室一厅一卫,3室1厅,中层(共5层),南北向,1984,永定路东街小区,永定路,海淀区永定路东街5号院,距1号线五棵松站约912米,69,650,93931
兴康家园三居 好楼层 双电梯,3室2厅,中层(共24层),南北向,2012,兴康家园,黄村北,康庄路52号院,无,107,420,39341
南北通透 采光充足 位置安静 不临街 前后双阳台 有飘窗,3室2厅,高层(共15层),南北向,2007,融泽府,复兴门,北京市西城区真武庙路四条8号院,距1号线南礼士路站约765米,205,3200,156098
五矿住宅区临武警总公园所环绕改善养老的地值得拥有随时看房,3室2厅,中层(共9层),南北向,2016,五矿铭品,良乡,区长虹东路与阜盛大街交汇处,无,135,500,37037
鸿业兴园南北通透大三居 户型方正 诚心出售,3室2厅,低层(共16层),南北向,2006,鸿业兴园,科技园区,科兴路与樊羊路交汇处西行340米路南,无,133,796,59850
卡布其诺 小三居室 南北通透 全明格局 中间楼层,3室2厅,中层(共9层),南北向,2005,卡布其诺,酒仙桥,将台东路与村家村路交叉点向西200米路北,无,102,770,75247
国贸 双井 富力城区 3室2厅 全南向 高层,3室2厅,中层(共25层),南向,2005,富力城C区,双井,惠力路与天力街交叉点东南角,距10号线双井站约570米,163,1655,101809
关注!南北三居 明厅明卫明厨 满五年落地窗有车位 急售可议价,3室2厅,高层(共13层),南北向,2002,远洋风景,小西天,德胜门西大街15号(西直门桥东北300米),距2号线西直门站约891米,173,1600,92352
西直门 铁道科学研究院 2室1厅 婆媳房 全明户型 满五年,2室1厅,中层(共6层),南北向,1989,铁科院小区,皂君庙,海淀区交大东路交学院南路西南角(中央财经大学,距13号线大钟寺站约1114米,61,525,86491
紫芳园二区 南北三居室,3室2厅,中层(共10层),南北向,2005,紫芳园二区,方庄,方庄紫芳路5号,无,177,1600,90395
旗舰凯旋一室一厅一卫,1室1厅,中层(共13层),西南向,2003,旗舰凯旋,梨园,梨园镇云景东路80号(八通线九棵树站向南10,无,62,280,44843
泰华滨河苑复式三居室 满五年一套 南北通透精装修,3室2厅,高层(共27层),南北向,2005,泰华滨河苑,酒仙桥,朝阳公园东门 东风北桥东南十里居41号院,无,149,780,52254
优!长阳 碧桂园天资璟庭 南北大三居室 客厅主卧朝南,3室2厅,中层(共13层),南北向,2013,碧桂园四期天资璟庭,长阳,昊天北大街38号,无,129,500,38760
潮白人家 精装两居 交通便利30分鍾 直达国贸 满5惟壹 随时,2室1厅,中层(共24层),东西向,2012,潮白人家,燕郊,行宫西大街与燕顺路交汇处东行400米路北,无,83,161,19398
青年路 朝阳大悦城 富华家园全南2居出售,2室1厅,高层(共24层),南向,2000,富华家园,朝青,黄衫木店路186号院,无,78,420,53950
鑫雅苑三室二厅二卫,3室2厅,低层(共20层),西南向,2000,鑫雅苑,皂君庙,皂君庙14号院,距13号线大钟寺站约887米,156,1370,87714
西二旗 新硅谷品质 精致2居满5年 顶层带阁楼,2室1厅,高层(共5层),东西向,2012,领秀新硅谷,西二旗,西二旗西路1号院,距13号线西二旗站约500米,78,668,85641
国贸 双井富力城区全南三居 采光视野俱佳 看房方便,3室2厅,高层(共25层),南向,2005,富力城C区,双井,惠力路与天力街交叉点东南角,距10号线双井站约570米,163,1570,96580
定慧寺八里庄慈寿寺站朝南向中层一居室诚售看房方便!,1室1厅,中层(共6层),南北向,1994,西八里庄北里,定慧寺,西八里庄路慈寿寺桥西南角,距6号线慈寿寺站约622米,40,360,89552
远大园五区 南北通透  钥匙房,3室1厅,低层(共12层),南北向,2002,世纪城远大园五区,世纪城,板井路北侧世纪金源大饭店后,无,179,1680,93755
一居室 灵动空间可多改造户型 采光好,1室1厅,高层(共5层),东向,1998,金达园,回龙观,西二旗北路与京藏高速交汇处西行200米,无,56,280,49698
全明格局 南北通透户型 看房方便 房价可协商,2室1厅,低层(共27层),南北向,2014,融泽嘉园,龙泽,西二旗北侧龙域中路金域华府北面,无,98,460,46996
公园5号一期南北通透板楼三室二厅二卫,3室2厅,高层(共7层),东向,1999,公园5号,甜水园,金台路十字路口西北角甜水西园,距6号线金台路站约275米,109,900,82728
西八里庄北里 板楼南北通透 小区中间 精致装修 可以看房,2室1厅,高层(共6层),南北向,1996,西八里庄北里,定慧寺,西八里庄路慈寿寺桥西南角,距6号线慈寿寺站约622米,50,485,97000
上河村 通透三居室 含车位 楼层视野 效果好,3室2厅,中层(共8层),南北向,2003,鲁艺上河村,世纪城,远大路与远大东路交汇东南角,距10号线长春桥站约471米,182,2390,131275
「幸福我家」道家园三室一厅一卫,3室1厅,高层(共20层),南向,1990,道家园小区,甜水园,甜水园东街 靠近东四环红领巾桥,距6号线金台路站约875米,78,480,61752
碧水云天 3室2厅 148.55平米,3室2厅,高层(共13层),南北向,2003,碧水云天,万柳,巴沟南路与万柳中路路口西南角,距10号线火器营站约588米,149,1680,113093
幸福我家道家园一室一厅一卫,1室1厅,高层(共12层),南向,1990,道家园小区,甜水园,甜水园东街 靠近东四环红领巾桥,距6号线金台路站约875米,52,345,65915
「幸福我家」秀水园小区大客厅两居室,2室1厅,中层(共14层),东北向,1992,秀水园,甜水园,甜水园街与水锥子街交汇处西北角(水碓子北里),距14号线朝阳公园站约578米,79,465,58824
新景家园2居 东西通透 2/5号线西侧 看房随时,2室1厅,高层(共16层),东西向,2004,新景家园,崇文门,崇文门西花市大街8号(新世界商场向东150米,距7号线广渠门内站约859米,81,745,92386
和义东里一室一厅一卫,1室1厅,低层(共6层),南北向,1995,和义东里,和义,和义东里南苑路大红门,无,55,265,48517
一层的复式楼 标准3居室 临5天通苑站 业主一套住房省!,3室2厅,低层(共12层),东南向,2005,天通苑北二区,天通苑,城铁5号线天通苑站东600米,距5号线天通苑站约1199米,152,428,28158
新景家园西区二室一厅一卫,2室1厅,低层(共18层),南北向,2003,新景家园,崇文门,新景家园崇文门西花市大街8号(新世界商场向东,距7号线广渠门内站约859米,74,723,97941
枫丹丽舍 法式花园洋房 九百万以内三居室 位置安静,3室1厅,高层(共5层),南北向,2003,枫丹丽舍,西三旗,西三旗高新建材城环岛西北角,距13号线霍营站约859米,113,860,76106
东方雅苑一室一厅一卫,1室1厅,中层(共18层),南北向,2007,东方雅苑,大望路,西大望路63号院,距7号线九龙山站约687米,66,555,84707
六建大院 复兴路32号院 二室一厅一卫 双南朝向 五棵松 装修很好,2室1厅,低层(共6层),南向,1979,复兴路32号院,五棵松,复兴路32号,距1号线五棵松站约280米,55,498,90217
中关村两居室南北向 总价低 户型好 有钥匙 有车位,2室1厅,低层(共6层),南北向,1995,软件园小区,中关村,中关村320楼,距10号线知春里站约681米,58,520,90435
西城德胜门!新明胡同低总价公房一居室!看房方便。,1室1厅,低层(共6层),南向,1989,新明胡同住宅,德胜门,新明胡同住宅新明胡同路甲1号,无,45,610,136161
时尚街区东区 城铁房 满五一套 看房方便!,1室1厅,中层(共19层),北向,2007,时尚街区东区,梨园,梨园云景东路66号(梨园地铁站附近),距八通线梨园站约208米,75,360,47809
紫禁壹号院 平墅 与刘强东为邻 法式风格建筑,4室2厅,低层(共9层),南北向,2016,亦庄金茂悦,亦庄,亦庄·南海子公园东南1000米,无,202,1100,54455
长安新城旁 06年商品房 板楼中层南北通透大两居室 可改三居,2室2厅,低层(共6层),南北向,2006,林栖园,青塔,大成路28号院,无,106,610,57553
今典花园三室一厅二卫,3室1厅,高层(共19层),西北向,2001,今典花园,小西天,文慧园北路9号,无,158,1300,82357
嘉都茂晟公馆一手房顺销中 平谷线 交通便利,2室2厅,高层(共18层),南北向,2016,嘉都国际,燕郊,京平高速木燕路(北务出口)东500米,无,96,116,12083
华业东方玫瑰一室一厅一卫,1室1厅,高层(共30层),东北向,2014,华业东方玫瑰,梨园,梨园镇 距临河里地铁站仅400米,距八通线临河里站约817米,56,300,53201
带电梯 精装两居 带客厅小西天 红联北村 满五一套,2室1厅,低层(共16层),西北向,1989,红联北村,小西天,北京邮电大学南门南800米,无,67,539,79970
(满五一套+有钥匙) 毛坯随意装修 户型方正 没有浪费空间,3室1厅,低层(共21层),南北向,2011,丽都壹号,酒仙桥,将台路与驼房营路交叉口(卡布奇诺路南),无,139,1120,80657
北苑 润泽公馆 南向两居室 中高楼层 豪华装修+,2室1厅,中层(共28层),南向,2014,润泽公馆,北苑,北五环顾家庄桥正北2600米,无,88,740,84282
三环里 紧挨北京南站 精装婚房 温馨三居 没税!,3室1厅,高层(共6层),西南向,1993,洋桥北里,西罗园,丰台区洋桥西罗园北路两侧 北京南站南侧,距4号线北京南站约663米,69,380,55033
西直门 朝南一居室 中间楼层 采光好 视野好,1室1厅,中层(共6层),南向,1990,红联南村,小西天,小西天文慧园北侧,距4号线新街口站约1178米,43,350,82160
马家堡西里二室一厅一卫,2室1厅,高层(共6层),南北向,1995,马家堡西里,马家堡,南三环马家堡中路西侧,距4号线马家堡站约594米,62,336,53846
只交契税 购房成本低 全南 无遮无挡,2室1厅,低层(共17层),南向,2008,新景家园,崇文门,新景家园崇文门西花市大街8号(新世界商场向东,距7号线广渠门内站约859米,81,810,99803
晓月苑三里三室二厅一卫,3室2厅,中层(共6层),南北向,2001,晓月苑,卢沟桥,晓月苑晓月苑垂虹街7号 晓月中路5号院(晓月,无,119,450,37736
方舟苑二期 全南两居室 高层观景 视野采光好 装修好,2室2厅,高层(共24层),南向,2002,方舟苑三期,望京,北四环东路甲9号,无,94,690,73264
潘家园东里二室一厅一卫,2室1厅,低层(共18层),东南向,1993,潘家园东里,潘家园,潘家园桥西行500米路北,距10号线潘家园站约708米,62,386,62439
顺义城区 正规两居室。电梯房 精装修,2室1厅,低层(共18层),东北向,1958,港馨家园,顺义城,顺泰路与平沿路交叉点西北角,无,91,329,35988
南开地二室一厅一卫,2室1厅,中层(共5层),南向,1992,南开地小区,看丹桥,南开地小区西南四环看丹桥西北角,无,44,280,63898
本周新出笋盘 房业主出国+3个车位送500万软装!本周必卖,5室3厅,低层(共1层),北向,2010,龙湖滟澜山,中央别墅区,后沙浴镇古城村火沙路南侧,无,320,1950,60938
大厂潮白河英国宫 2居 总价115万 懂得抓紧时间,2室2厅,低层(共27层),南向,无,潮白河孔雀英国宫,大厂,通州东潮白河畔(距国贸30公里),无,77,115,14974
优选满五年已购公房朝阳新城三区二室二厅一卫,2室2厅,低层(共6层),东西向,2008,朝阳新城,东坝,东坝高杨树 朝新家园东里,无,83,450,54394
花开花落;人生百年!待君来电;让拥有趁早。欧陆经典二室一厅一卫,2室1厅,高层(共22层),西南向,2002,欧陆经典,亚运村小营,北苑路172号院,距5号线大屯路东站约840米,81,780,96261
通州副 交通便利 成熟社区 成熟商圈河景房 随时看房,2室1厅,中层(共18层),南北向,2016,大厂北京御园,廊坊,北新街与华安北路交汇路口东200米,无,89,140,15730
